pub_date	title	venue	excerpt	citation	url_slug	paper_url
2022-07-11	Cartoonized Anonymization of Sign Language Videos	IEEE 14th Image, Video, and Multidimensional Signal Processing Workshop (IVMSP)		"Christina Ourania Tze, Panagiotis P. Filntisis, Anastasios Roussos, and Petros Maragos. (2022). ""Cartoonized Anonnymization of Sign Language Videos."" <i>Journal 1</i>. 1(1)."	CartoonizedAnonymizationSLVideos	
2023-06-19	Neural Sign Reenactor: Deep Photo-realistic Sign Language Retargeting	IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)		"Christina Ourania Tze, Panagiotis P. Filntisis, Athanasia-Lida Dimou, Anastasios Roussos, and Petros Maragos (2023). ""Neural Sign Reenactor: Deep Photo-realistic Sign Language Retargeting."" <i>Journal 1</i>. 1(2)."	NeuralSignReenactor	
